score,content,English
4,Bagaimana cara membunyikan notifikasi ketika buku sudah tersedia ?,How do I sound a notification when a book is available?
1,KENAPA SAYA TIDAK BISA MENGUNDUH BUKU?! PADAHAL STATUSNYA SAYA BISA MEMINJAM BUKU TERSEBUT?,WHY CAN'T I DOWNLOAD THE BOOK?! WHY CAN I BORROW THE BOOK IN STATUS?
3,"Menurut Saya aplikasi ini bagus, tapi masih ada beberapa kekurangan. Misalnya, tidak ada notifikasi saat buku tersedia. Masa harus buka aplikasinya dulu baru notifikasinya muncul. Dan tolong untuk stok bukunya ditambah lagi, biar antri bukunya tidak panjang dan kelamaan. Satu lagi, tolong untuk kedepannya koleksi buku²nya ditambah lagi ya. Terima kasih","In my opinion this application is good, but there are still some shortcomings. For example, there are no notifications when a book is available. You have to open the app first before the notification appears. And please increase the stock of books, so that the queues for books are not long and too long. One more thing, please add more books in the future. Thank you"
5,Bagus cuma tambahin mode gelap saja karena mode gelap sistem dari Handphone tidak bisa berfungsi pada aplikasi jadi mohon tambahi mode gelap biar tidak terlalu menyiksa atau kayaknya aplikasi ini ada mode gelap/tema gelap tapi tidak berfungsi dengan baik,It's good to just add a dark mode because the system dark mode from the cellphone can't work on the application so please add a dark mode so it's not too torturous or I think this app has a dark mode/dark theme but it doesn't work properly
4,"Aplikasinya bagus. Koleksi bukunya juga banyak. Tapi sih, menurut aku kuota untuk peminjam buku dikit, jadi suka ngantri lama. Bisa dibanyakin lagi dong min","The app is good. There is also a large collection of books. However, in my opinion, the quota for book borrowers is small, so I like to queue for a long time. Can you make more, bro?"
1,Tdk bisa login,Can not login
1,Akun tiba tiba keluar sendiri dan ketika mau login gak bisa padahal udah coba reset password dan ketika mencoba menulis password malah ada tulisan email tidak valid,The account suddenly went out by itself and when I wanted to log in I couldn't even though I've tried resetting the password and when I tried to write the password it even said an invalid email
5,Memudahkan kita untuk menambah pengetahuan,Makes it easier for us to increase knowledge
2,Bukunya ngga bisa di download,The book can't be downloaded
1,Tidak bisa login,Can not login
1,"Tolong diperbaiki,mau login tombol selanjutnya gak bisa di klik!!","Please fix it, I want to login, the next button can't be clicked!!"
1,Tidak bisa dibuka eror Buat yang mau download harap pikir pikir dulu,Cannot open error For those who want to download please think about it first
5,Sangat membntu,very helpful
1,Gak bisa login gimana ni?pakai email gak bisa. Pakai Facebook cuma mental. Pakai email web nya gak bisa dibuka,"I can't login, how can I use email? Using Facebook is just mental. Using the web email, I can't open it"
1,Aku kasih bintang satu dulu.🙏Kok aku nggak bisa pinjem bukunya ya? Pas aku ketik buku yang aku cari malah nggak bisa masuk/baca,"I'll give you one star first. 🙏 How come I can't borrow the book? When I type the book I'm looking for, I can't even enter/read it"
2,"Saat mau masuk terus menerus keluar sendiri dari aplikasi, padahal koneksi internet lancar saat digunakan untuk aplikasi lain. Harap segera diperbaiki.","When you want to enter, you keep exiting the application yourself, even though the internet connection is smooth when used for other applications. Please fix it soon."
4,"Udah bagus kok aplikasinya, cuman, ada beberapa buku yang tidak tersedia dan hanya dapat dipinjam untuk yang berdomisili di Jakarta.","The application is good, but there are some books that are not available and can only be borrowed for those who live in Jakarta."
5,Mantap,Excellent
1,respon saat log-in sgt lama pdhl internet bagus .,"the response when logging in is very long, but the internet is good."
2,"Saat saya hendak membaca buku selalu keluar, padahal saya sudah install uninstall berkali kali","When I want to read a book it always comes out, even though I've installed and uninstalled it many times"
2,"Nyoba pinjem buku trs pas udah pinjem stuck ke tombol download, udh saya pencet berkali kali tapi tetap ga bisa. Udh saya ganti email juga ga bisa bisa. Saya juga pakai judul lain tapi sama aja, tetap stuck tombol download. Udh unistall aplikasi juga tetap stuck di tombol download ga bisa dibaca. Saya udh nyoba 3 harian tapi tetap ga bisa. Tolong solusinya","Trying to borrow a book, then when I borrowed it stuck to the download button, I pressed it many times but still can't. I've changed the email and it doesn't work either. I also use another title but it's the same, it's still stuck on the download button. After uninstalling the application, it still gets stuck on the download button, it can't be read. I've tried 3 days but still can't. Solution please"
4,"Tolong buat tambahin buku 'Son of Neptune' karya rick riordan, soalny tinggal buku itu aja yg belom ada di series HoO. Saran banget buat ipusnas agar nambahin fitur buat filter genre/jenis buku nya biar lebih gampang nyari nya, Notifikasi nya juga diperbaiki biar bisa muncul plis banget. Makasih banyak🙏","Please add the book 'Son of Neptune' by rick riordan, the only problem is that book is not in the HoO series yet. It's really a suggestion for Ipusnas to add a feature to filter genres/types of books so that it's easier to find them, the notifications are also fixed so that they can appear more easily. Thank you very much🙏"
5,makasi developer,thanks developer
2,"Kenapa Aplikasi ini lama banget dah, masuk mendaftar saja lama betul. Mohon maaf admin tolong diperbaiki, ini buat saya beteh ya plesed.🙏😡","Why is this application taking so long, just entering the register takes a long time. Sorry admin, please fix it, this makes me feel better, plesed.🙏😡"
5,"Banyak banget buku² yang bisa dibaca. Ada buku best seller sampai buku dari penulis terkenal juga ada di iPunas. Saya senang bisa baca banyak buku di aplikasi ini dan itu juga gratis. Tapi ngantri bukunya ada yang lama banget, wajar sih namanya juga perpustakaan nasional, banyak pengguna yg pake. Kedepannya semoga bisa diperbanyak stok bukunya untuk mengembangkan minat dan kebiasaan membaca.","There are lots of books to read. There are best-selling books to books from well-known authors at iPunas. I love being able to read a lot of books in this app and it's also free. But the queue for the book is very long, it's only natural that it's also called a national library, many users use it. In the future, hopefully the stock of books can be increased to develop interest and reading habits."
1,Assalamualaikum...knapa ya saya gak bisa login,Assalamualaikum...why can't I login
5,Keren banyak ilmu,Cool a lot of knowledge
3,"Keren. Udah pinjam belasan buku. Mungkin perlu ditambah social room buat ngobrol antar penggunanya. Edited 6/5/2022 Maap, min. Bintangnya sy kurangi. Soalnya sdh 2 minggu ini buku yg sy unduh tidak bisa dibaca. Forced close terus. Sdh uninstal & reinstal, problem masih sama.","Cool. I've borrowed dozens of books. Maybe you need to add a social room to chat between users. Edited 6/5/2022 Sorry, min. I reduced the stars. The problem is that it's been 2 weeks since the book I downloaded can't be read. Forced close continues. I have uninstalled & reinstalled, the problem is still the same."
5,terimakasih buat para developer yg sudah menyediakan aplkasi ini sehingga anak anak bngsa bisa membaca buku di mana saja kapan saja. GBU,thank you to the developers who have provided this application so that children of the nation can read books anywhere at any time. GBU
3,"Koleksi bukunya lumayan lengkap, tapi tampilan aplikasinya waktu baca buku suka kedip kedip, jadi ganggu bgt","The book collection is quite complete, but the appearance of the application when reading a book seems to flicker, so it's really annoying"
2,Force close melulu 😮‍💨,Force close only
4,Saran untuk menambahkan fitur highlighter. Dan kendala yang saya alami hanya sistem antrian. Tolong perbanyak koleksi atau prioritaskan orang yang lebih dulu mengantri.,Suggestion to add highlighter feature. And the only problem I'm experiencing is the queuing system. Please expand the collection or prioritize the person who queues first.
3,"Sebagai pembaca, saya ngerasa seneng karena ada aplikasi legal kayak gini, apalagi bukunya juga gratis.Tapi kenapa ya dari aplikasinya tuh suka logout sendiri? Kalo pas mau login juga butuh waktu lama, apalagi kalo login dari facebook.Semoga kedepannya engga kayak gitu lagi","As a reader, I feel happy because there is a legal application like this, especially since the book is also free. But why does the application like to logout itself? If you want to log in it also takes a long time, especially if you log in from Facebook. Hopefully in the future it won't be like that again"
1,"Jelek, eror gabisa di download padahal udh pinjam, gmna mau bacanya","It's ugly, the error can't be downloaded even though it's already borrowed, how do you want to read it?"
5,"Bagus banget aplikasi nya untuk menambah wawasan dan pengetahuan tentang hal-hal apa saja,tapi kadang suka eror semoga cepet terselesaikan deh masalah eror nya min👍","It's a really good application to add insight and knowledge about any things, but sometimes there are errors, hopefully the error problem will be resolved quickly, min👍"
3,Kog error si. Tolong di perbaiki.. Ada tulisan numpuk numpuk,It's an error. Please fix it.. There are writings piled up
5,Sumber yang sangat bermanfaat,Very useful resource
3,Bagus sih tp suka keluar sendiri dan masih banyak Bug,It's good but likes to go out alone and there are still many bugs
5,"Sudah makin berkembang fiturnya, hanya saja sangat disayangkan fitur penanda halaman dihilangkan, jadi kesulitan untuk menandai halaman terakhir baca","Its features have been growing, it's just a shame that the page marker feature is removed, so it's difficult to mark the last page read"
4,"Koleksinya banyak meskipun antrian tak berujung di buku2 populer, masih oke untuk buku ilmu pengetahuan. Perlu ditingkatkan lagi dari segi penampilannya. Diharapkan kedepannya memiliki desain interface yang menarik dan memudahkan.","The collection is large despite the endless queues of popular books, still okay for a science book. Need to improve again in terms of appearance. It is hoped that in the future it will have an attractive and easy interface design."
5,"great, udah diperbaiki dan enggak ada kendala pas mau dibuka. gercep, sehari doang perbaikannya. semoga kedepannya gaada kendala lagi ya. also suka bgt apk ini, aku yg belum pernah ke perpusnas dan pengen bgt ke sana jd tertolong dengan adanya perpusnas versi digital ini. makasii.","great, it's been fixed and there are no problems when it opens. Hurry up, only one day to fix it. I hope there will be no more problems in the future. I also really like this apk, I've never been to a National Library and I really want to go there so I'm helped by the existence of this digital version of the National Library. thank you."
3,"Min, tolong ditambahkan kategorinya, kategori buku baru. Jadi saya tahu buku-buku apa aja yg baru. Gak harus scroll lama cari buku baru. Terima kasih","Min, please add the category, new book category. So I know what books are new. You don't have to scroll for a long time to find a new book. Thank you"
2,"Lagi cari referensi buku tapi apps keluar terus, katanya ada bug disuruh update padahal udah update","I'm looking for book references but apps keep coming out, they say there's a bug, they're told to update even though it's been updated"
5,Semoga semakin lama koleksi ipusnas terus bertambah.,Hopefully the longer the ipusnas collection will continue to grow.
5,"Daripada baca buku bajakan atau baca buku lewat pdf yang diunduh bebas gitu, yuk baca buku di iPusnas! Walaupun nggak semua buku yang kalian mau ada di sini, tapi di aplikasi ini udah lengkap banget!","Instead of reading pirated books or reading books via free download pdfs, let's read books at iPusnas! Even though not all the books you want are here, this application is very complete!"
4,"Bagus apk nya, cuma pas lagi baca² tiba-tiba keluar sendiri, terus pas saya mau mengembalikan buku kenapa tidak bisa ya? Tolong diperbaiki lagi🙏🏿","The apk is good, it's just that when I'm reading it suddenly comes out by itself, then when I want to return the book why can't it? Please fix again🙏🏿"
5,"Aplikasinya bagus bgt, tp ada bagusnya kalau bukunya bisa mendukung latar gelap. Karena saat membaca di tempat yang gelap mata saya suka perih","The app is great, but it would be nice if the book could support dark backgrounds. Because when I read in a dark place my eyes sting"
3,"Saya berharap semoga kedepan nya aplikasi ispusnas tidak memakai waktu peminjaman dan menghapuskan sistem antrian, atau kalau memang ingin dibuat sistem seperti itu, setidaknya tidak ada sistem antrian, dan mohon ditambah waktu peminjamannya, coba bayangin, kami rakyat indonesia ingin membaca dan menambah wawasan masa harus ngantri dulu","I hope that in the future the ISpusnas application does not use borrowing time and abolishes the queuing system, or if you really want to create a system like that, at least there is no queuing system, and please increase the borrowing time, just imagine, we Indonesian people want to read and add insight when we have to queue first"
5,Sangat membantu bagus banget bukunya lengkap disini,"Very helpful, very good, the complete book is here"
2,"Hai kak, ini kenapa aplikasinya susah buat login yaa? Padahal sandinya udah sesuai sama kata sandi emailku. Tapi kok nggak jadi, gagal terus. Di sini sinyalnya juga bagus kok. Apa memang bener lagi erorr? Tolong diperbaiki dong min, pengin pinjem buku jugaa^^","Hi sis, why is this application difficult to login? Even though the password is the same as my email password. But why not, it keeps failing. Here the signal is also good. Is it really an error again? Please fix it, bro, I want to borrow the book too^^"
5,"Edit: Hai, boleh dong rekomendasi buku yang keluar dibawah judul yang kita buka diperbaiki? Misal masih satu tema gitu? Terimakasih! Developer baik deh, selalu jawab dan sarannya berhasil, terimakasih!","Edit: Hi, can you fix the recommended book that comes out under the title we are opening? For example, is it still the same theme? Thank you! Developers are good, always answer and suggestions work, thank you!"
5,"Sangat bermanfaat sekali, aku suka aplikasi ini.","Very useful, I like this app."
5,The best 🤍,The best
4,"Perpustakaan digital ini sudah cukup baik, berjalan dengan lancar dan bagus Ada beberapa yang menurut saya harus di tingkatkan: 1. Notifikasi tidak muncul ketika buku antrian sudah ada. 2. Buat pembatas atau pengingat halaman di setiap buku, karena saya sering lupa,saya baca buku sampai halaman berapa?. 3. Tampilan yang lebih segar lagi dan lebih simpel tapi berisi. 4. Ketika meminjam buku tolong di beri waktu, berapa lama lagi buku akan di kembalikan. 5. Buat notifikasi ajakan membaca/ motivasi","This digital library is quite good, runs smoothly and is good. There are a few things that I think should be improved: 1. Notifications don't appear when the queue book is already there. 2. Make page boundaries or reminders for each book, because I often forget, how many pages did I read in a book?. 3. The appearance is fresher and more simple but contains. 4. When borrowing a book, please give time, how much longer will the book be returned. 5. Create an invitation to read/motivation notification"
5,"Terimakasih kaka2 developer dan tim yang sudah membuat & mengembangkan aplikasi yg sangaatt bermanfaat ini apalagi bisa diakses scr gratis-tis-tiss:D. Mau rekomendasi beberapa buku2 yg bagus & belum ada di iPusnas : Men are from Mars Women are from Venus, Wonder, Deep Work, How to respect myself, Matinya Kepakaran, buku2nya Malcolm Gladwell, juga terakhir semoga kedepannya bisa ada buku2 bagus bhs Inggris yg versi Indonesianya gak ada. Semoga literasi masyarakat Indonesia semakin meningkat 💪✨","Thank you developer and team for making & developing this very useful application, especially if it can be accessed for free-tis-tiss :D. I would like to recommend some good books that are not available at iPusnas: Men are from Mars Women are from Venus, Wonder, Deep Work, How to respect myself, The Death of Expertise, Malcolm Gladwell's books, and finally, hopefully in the future there will be good English versions. Indonesia doesn't exist. Hopefully the literacy of the Indonesian people will increase"
3,Mohon bantuannya ! Ini saya gabisa login,Please help ! I can't login
4,Good. Hmm. Susah login mulu kenapa ya?,Good. Hmm. Why is it so hard to log in?
5,oke,okay
1,Setelah melakukan peminjaman buku. Buka tdk dapat di buka.,After borrowing books. Open cannot be opened.
1,Masih sangat jauh dari kata kenyamanan pembaca,Still very far from the word comfort of the reader
1,Aplikasi sebenarnya bagus tapi banyak yang hurufnya dempet jadi tidak terbaca.,The application is actually good but many of the letters are attached so they are not legible.
2,"Maaf cuman bintang 2. Soalnya akun saya tiba tiba keluar sendiri. Gak bisa log in lagi. Pas mau masukin email malah ada tulisan ""email tidak valid."" Padahal email-nya udah benerr. Udah kirim email juga ke akun email ipusnas, tetapi nggak ada respon. Tolong solusinya ya. Terima kasih.","Sorry, only 2 stars. Because my account suddenly went out by itself. Can't log in again. When I want to enter my email, it says ""Invalid email."" Even though the email is correct. I have also sent an email to the ipusnas email account, but there is no response. Please provide a solution. Thank you"
1,"Sudah bertahun-tahun masih sama saja tdk ada perbaikan,, Bintang yg berbicara","It's been years, still the same, no improvement,, the talking star"
4,Bukunya kurang komplit,The book is incomplete
2,"App-nya bagus sebenarnya😭 aku udah 2 tahun baca pas kemaren keluar sendiri mau masuk lagi malah gak bisa😭😭 gimana ini... Pr buat developer nya... Padahal jaringan bagus, aku test YouTube lancar, buat penyimpanan aku masih lega rom aku 128 GB, pass sama email bener kok gak aku ubah2. Tolong ya aku gak bisa kalo harus ke perpustakaan nasional terus.","The app is really good I've been reading it for 2 years when I left yesterday I just wanted to log in again but I couldn't How about this... PR for the developer... Even though the network is good, I tested YouTube smoothly, for storage I'm still relieved rom I'm 128 GB, the password and the email are correct, how come I didn't change it. Please, I can't if I have to go to the national library all the time."
5,"Buku"" nya bagus""","Its a ""good"" book"
2,"Kenapa transisi kertas curlnya ga bisa diapply? ngestuck terus. Waktu keluar dari novelnya, pas mau baca lagi, eh balik ke hal yg pertama, bukannya hal yg terakhir dibaca, kenapa hd seperti itu? Mohon perbaikannya","Why can't the curl paper transition be applied? keep stuck. When you leave the novel, when you want to read it again, you go back to the first thing, not the last thing you read, why is HD like that? Please fix"
4,Bagus sekali baca lah kejarlah cita citanya setinggi langit Sekian terimakasih,"It's very good to read, chase your dreams as high as the sky Thank you so much"
5,Terbaik,Best
3,Aplikasinya cukup sering tidak bisa digunakan. Tampilan halaman awlqnya nge freeze,The application is quite often unusable. The initial page display freezes
1,"Mohon maaf sebelumnya, saya sudah mendaftar akun 3 kali tetapi yang muncul email dan username tidak valid","Sorry in advance, I have registered for an account 3 times but the email and username are invalid"
4,Nice app. Thanks.,Nice app. Thanks.
5,"Aplikasi bagus bukunya juga menarik , saran tambah berbagai buku novel dari berbagai penulis kak biar lebih variatif pilihan bukunya terutama buku dari penulis² kecil juga tambah fitur genre buku yang lebih beragam jadi pilihan bacanya lebih menarik. Itu aja sisanya keren semoga budaya literasi lestari :)","Good applications, the books are also interesting. Suggestions for adding various novels from various authors so that the choice of books is more varied, especially books from small authors, also adding more diverse book genre features so that the reading choices are more interesting. That's all, the rest is cool, hopefully the literacy culture will be sustainable :)"
5,Keren aplikasinya Sangat membantu,Cool app. Very helpful
5,Suka banget,Really like
3,"Halo kepada tim developert ipusnas. Saya sangat senang karena sekarang bisa baca buku lewat hp. Namun sayang. Saya sudah pinjam buku, tapi ga bisa. Mohon para kru ama tim nya, mohon segers di benarkan ya, atau kalau bisa di kasih tutorial pas awal masuk agar kita semua paham. Oke sekian dari saya. Terimakasih","Hello to the ipusnas development team. I am very happy because now I can read books on my cellphone. But honey. I have borrowed a book, but I can't. Please, the crew and the team, please correct it immediately, or if possible, give a tutorial when you first enter so that we all understand. Okay that's it from me. Thank you"
5,"Kerenn,, semoga kedepannya bisa lebih baik y","Kerenn, hopefully in the future it can be better y"
3,"Fitur screenshoot tolong adakan lagi dong, biar bisa mengajak org org suka baca juga, dengan memberi tahu kutipan buku yang bagus","The screenshot feature, please do it again, so I can invite people to like reading too, by telling me a good book quote"
3,"Sayangnya tidak ada fitur wishlist, gabisa ngelist buku apa aja yg mau dibaca kedepannya.","Unfortunately there is no wishlist feature, so I can't list any books I want to read in the future."
5,"Banyak koleksi buku, pelayanan gangguan cepat.","Large collection of books, fast interruption service."
2,"Habis update jadi banyak bugnya, mending versi yg kemaren, ga ada bugnya","After the update, there are a lot of bugs, it's better for the previous version, there are no bugs"
3,"koleksi bukunya lengkap dan bagus bagus, tapi aplikasinya sendiri sering bug dan error, mohon diperbaiki","the book collection is complete and good, but the application itself often has bugs and errors, please fix it"
3,"Saya mohon agar iPusnas dapat menyediakan fitur mengembalikan buku sebelum 1 × 24 jam, sebab terkadang buku yang sudah terlanjur dipinjam itu ternyata tidak sesuai dengan minat.","I ask that iPusnas can provide a feature to return books before 1 × 24 hours, because sometimes books that have already been borrowed turn out to be not according to interest."
5,semoga bisa lebih ditingkatkan lagi,I hope it can be improved even more
5,"Keren aplikasinya, menambah wawasan","Cool application, add insight"
1,Kenapa saya tidak bisa lagi login?,Why can't I login anymore?
1,"tidak bisa login, tolong dibenahi","can't login, please fix it"
3,Assalamualaikum saya Yudi saya minta tolong. Tolong perbaiki bukunya biar terbaca sama anak disabilitas netra terima kasih,"Assalamualaikum, I'm Yudi, I'm asking for help. Please fix the book so that blind children with disabilities can read it, thank you"
4,Kasih bintang 4 karena novel nya kurang lengkap. Tp yg bagian agama dan spiritual suka.,Give 4 stars because the novel is incomplete. But the religious and spiritual people like it.
3,"Asalamu'alaikum wrwb, sebelumnya saya mohon maaf yg sebesarbesarnya, saya ingin meminta tolong jika memang belum tersedia kiranya dapat menyediakan. format agar isi buku di ipusnas ini dapat terbaca oleh kami penyandang tunanetra. Utk Smua fitur, menu, judul dan deskripsi bukunya sudah akses, tinggal isi bukunya, karena itu sangat membantu kmi, terimakasih.","Assalamu'alaikum wrwb, in advance I apologize profusely, I would like to ask for help if it is not yet available, please provide it. format so that the contents of the books in Ipusnas can be read by us blind people. All features, menus, titles and descriptions of the book have been accessed, all that's left is the contents of the book, because it really helps us, thank you."
1,"Email verifikasi ribet gagal truss ,link email selalu kode verifikasi tidak valid padahal bener semua data dirinyaa","The verification email is complicated, it fails, the email link is always the verification code is not valid even though all the data is correct"
1,Gak bisa kebuka gaje,Can't open it gaje
1,"Sedih, belum berkembang, BUG banyak banget, gabisa baca, gabisa kembaliin, force close, 😭 yok bisa yok, perpus nasional lho ini","Sad, undeveloped, lots of bugs, can't read, can be returned, force close"
5,Sangat bermanfaat untuk bangsa,Very useful for the nation
4,Tolong tambah buku mengenai linguistik. Terima kasih,Please add books on linguistics. Thank you
2,"Buku yang sudah dipinjam melulu ilang, padahal sudah di download. catatan yang sudah dibuat juga sering hilang. Hmm tolong dong diperbaiki, sangat mengganggu.","Books that have been borrowed are always lost, even though they have been downloaded. notes that have been made are also often lost. Hmm, please fix it, it's very annoying."
3,"bagus, tpi loadingnya lama banget.","good, but it takes too long to load."
5,Aku suka baca Jadi bintang 5 aj,I like reading so just 5 stars
1,Teu bisa login,Can you log in?
5,Krennn,Krennn
5,Stock buku tolong diperbanyak 🙏 sehingga tidak menyebabkan antrian yang terlalu banyak 🙏🙏,Please increase the stock of books 🙏 so as not to cause too many queues 🙏🙏
5,koleksi lumayan,good collection
3,Mau daftar susah sekali. Email sudah benar tapi tetap gak bisa.,It's very difficult to register. Email is correct but still not working.
5,"Aplikasinya bagus banget kak👍tpi tolong ditambahin komik bergambar buat anak-anak,jdi lebih enak gtu bacanyaa,itu aj sih ulasan dari saya Semoga membantu,Salam literasi🙏","The application is really good, bro 👍 but please add illustrated comics for children, so it's easier to read, that's all my review Hope it helps, Greetings literacy🙏"
5,Stok terbatas tolong di tambah soalnya antriannya sangat lama dan baru dapat notif pas di cek udah di posisi antri lagi 😊,"Limited stock, please add because the queue is very long and I just got a notification when I checked it was already in the queue position again 😊"
3,"Udah bagus sih bukunya banyak, lumayan buat nambah pengetahuan, tapi banyak kekurangannya juga, dari mulai loading lama padahal jaringan bagus, udah di Download bukunya tapi gak bisa baca secara offline kaya dulu, Dll, kecewa, tapi semoga bisa di perbaiki lagi yah!","There are a lot of good books, it's good for increasing knowledge, but there are also many shortcomings, from starting to load long even though the network is good, I've downloaded the book but can't read it offline like before, etc., disappointed, but hopefully it can be fixed again!"
1,"Sangat disayangkan ketika saya ingin membaca buku hanya stuck di ikon download saja dan akibatnya buku tidak bisa dibaca, tolong pihak developer untuk perbaiki bug yang ada diaplikasi iPusnas. Terima kasih.","It's a shame when I want to read a book it just gets stuck on the download icon and as a result the book can't be read, please the developer to fix the bug in the iPusnas application. Thank you"
5,Sangat membsntu,Very helpful
5,"Aplikasi yang sangat bagus, cocok untuk para pembaca. Sungguh di sayangkan book novel sangat sedikit. Kalau bisa di tambah.","Very good application, suitable for readers. It's a pity that there are very few novel books. If you can add."
3,Saya ingin membaca di tablet. Tablet GT-N5100 dengan android 4.42 dinyatakan tdk kompatible. Kenapa ya....? Padahal syarat ipusnas yg saya ketahui bisa untuk android 4 and up. Masak ya harus beli tablet baru....???? Baca di hp tulisan kekecilan .,"I want to read on a tablet. Tablet GT-N5100 with android 4.42 declared incompatible. I wonder why....? Even though the Ipusnas requirements that I know can be for Android 4 and up. Cook, do you have to buy a new tablet....???? Read on the cellphone the writing is too small."
3,"Min apk nya bagus dan bermanfaat bgt, aku mau buat makalah pake sumber buku, tapi maaf yh min lemot bgt padahal sinyalnya lancar, akun ku jg blm masuk"" dari tadi,, mohon di perbaiki yh min, soalnya apk nya sangat bermanfaat Edit: Minn kok aku mau nyari buku lain yg di ketik lain yg keluar, mohon di perbaiki min aku butuh bgt soalnya","Min, the apk is good and very useful, I want to make a paper using book sources, but sorry, min, it's so slow even though the signal is smooth, my account hasn't been logged in since earlier, please fix it, bro, because the apk is very useful Edit: Minn Why do I want to look for another book that has been typed in another that came out, please fix it, min, I really need it, because"
3,"Bagus sih tapi kenapa yah ga ada notif ketika buku sudah tersedia? Udh beberapa kali ketinggalan mulu buku yg masuk antrian, pas mau dipinjem eh stok udh abis.. soalnya ga ada pop up notif ""buku (judul) sudah tersedia""","It's good, but why is there no notification when the book is available? I've missed a few times when the book entered the queue, when I wanted to borrow it, the stock ran out... because there wasn't a pop up notification ""book (title) is available"""
3,"Sebagai aplikasi buatan pemerintah aplikasi ini masih kurang stabil. Ada banyak bug. Seperti ketika membuka buku yang di pinjam malah force close, dan lain lain mohon untuk diperbaiki","As an application made by the government, this application is still less stable. There are a lot of bugs. Like when you open a borrowed book, you force close it, and so on, please fix it"
3,Kok sering error sih gimana sih ini? Tolong dong untuk para develop agar responnya cepat bila terjadi kendala. Soalnya akhir akhir ini servernya sering down. Terima kasih,How come this error often happens? Please for the developers so that they respond quickly if there are problems. Because lately the server is often down. Thank you
5,Aplikasi tidak dapat dibuka,Application cannot be opened
2,Kenapa gak bisa login padahal baru aja update versi terbaru? Jaringan internetnya juga bagus bagus aja,Why can't I login even though I just updated to the latest version? The internet network is also good
5,Rekomendasi.!,Recommendation.!
