final_trans,compound_score,sentiments
thank you ipusnas thanks to the help of ipusnas online library covid pandemic thank you,0.8625,positive
Im satisfied thank you for helping to provide books,0.7579,positive
love the book content application look for a lot of queues,0.6369,positive
good borrow short queue book borrow books queue,0.4404,positive
nature reads Ipusnas books happy to be patient in line to read books choose a book stock limit,0.5719,positive
good story story likes to pull the story,0.6908,positive
good book plus overall comfortable using Ipusnas sorry for dyslexia due to lazy reading,0.5267,positive
good suggestions for landing pages good typing books and good chapter segments the search feature applies to books thank you,0.8807,positive
add a copy of the book easy to read thank you,0.6597,positive
good book app lags badly book error returns good fast good book adds to the collection,0.1027,positive
login is difficult suggest choosing to sign in to a complicated account,-0.3612,negative
I like books Im disappointed with the national library measuring collections,-0.1531,negative
really good the book variant is quite enthusiastic about updating books,0.7708,positive
good application suggestions for borrowing books run out bookmarks are gone continue reading the book borrowing period is difficult to finish thank you,0.4404,positive
great application add to know,0.6249,positive
Complete books are hard to find reading books found out of stock,-0.1027,negative
ipusnas knows umis name download the ipusnas application registration tell me to try username valid email name try changing name change email help thank you,0.6369,positive
complete book best seller book no reading limit,0.4588,positive
download borrow books order email verification the application system is confused complicated,-0.3182,negative
Its cool reading ebooks sometimes I get an error Im annoyed that there are a lot of developers lining up,-0.4588,negative
book download read book annoyed application application,-0.3818,negative
nice login,0.4215,positive
good book out of stock love wise read replace save book read wise borrow borrow out delete shelf,0.9477,positive
the application of benefits helps the nations children diligently read the complete collection of world best seller books the stock of literature is wrong the investment is good educates the nation the developer adds to the collection of applications features saves reads archives borrowed books,0.8481,positive
using ipusnas problems logging in active email reactivating changing passwords according to the instructions for fixing star results using problems help thank you,0.3612,positive
thrifty societys level of reading interest,0.4588,positive
book limit borrow books limit free read books maximum book limit borrow queue,0.5106,positive
sorry net app is stable,0.2263,positive
good update fast update book tere liye thank you,0.6597,positive
read novels for free legal download applications,0.5859,positive
login via facebook login method add gmail thank you,0.3612,positive
strange application concept download queue to read technology name easy indo lazy to read,-0.1027,negative
read cheap easy books thank you for updating books,0.6597,positive
Its hard to find a novel read the full content,0.2263,positive
good application complete with features comfortable reading in front of a collection of fantasy genre books thank you,0.8271,positive
failed to login delete the youtube application give an email message suggest email verification wait for the results of core members be patient hurry thank you easy to read easy good cheap sustenance blessing,0.8779,positive
download facebook login read books wait in line empty books ready to borrow clear members please enter password member registration click registration enter password really confused sorry to uninstall the application thank you,0.6031,positive
hp hp read screen is off read system screen is on easy read read unlock hp screen is off,0.4404,positive
like to use,0.3612,positive
ok relogin email help reset password failed,0.1531,positive
light is good torture mode white edge application mode update,-0.25,negative
disappointed login email password is wrong ok,-0.6124,negative
good application to help lecture books are complete,0.6808,positive
read the book the application is good its difficult to read the book thank you,0.4404,positive
collection of free novels easy reading list for ipusnas thanks ipusnas,0.8442,positive
sorry borrow book download,-0.0772,negative
good thank you,0.6597,positive
book update novel tere liye update,0.3182,positive
login read good app,0.4404,positive
a good collection of reading history the book pages appear the reading pages appear fine,0.5719,positive
easy notification bug the book is ready to order,0.6597,positive
login failed happy to read login book,0.1027,positive
good application collection of books recommended reading,0.5719,positive
easy to like suitable for reading,0.6597,positive
copy the book know the book queue up wait in line do the book assignment better look for it,0.4404,positive
its hard to borrow a book Sunday borrow a book,-0.1027,negative
feature book highlight,0.34,positive
heaven on earth love book home travel the world thank you ipusnas,0.875,positive
permission suggestions highlighter feature likes quotes pulls reads free Ipusnas promotions thank you so much,0.8225,positive
new nonsense ipusnas password ipusnas access base valid email base,-0.4019,negative
The book is ready complete in front of the book the hook of economic motivation the hook of a lot of Islamic books,0.5994,positive
good application adds interest in reading among reading types,0.7096,positive
added a type wishlist feature to collect reading books added a reading tired mode,-0.4404,negative
developer permission advice dark theme apk ipusnas comfortable reading thank you,0.7003,positive
help with Ipusnas problems since February experiencing any problems throwing an account logout out of an empty bookshelf yesterday using help reading smoothly thank you,0.1779,positive
good quite complete add adult mystery features maybe lots of features pay convenient pay full contents competitive with google play book Indonesia,0.6369,positive
hard to verify email check email open a novel,0.2263,positive
good application uninstall benefits try using an easy account login register,0.8126,positive
like a little bug,0.3612,positive
pull out to help my hobby of reading books,0.4019,positive
the application helps diligently read the book in front of many books,0.3818,positive
developer read book auto app help,0.4019,positive
Thank you bridge for the lowbadgets read your favorite papers suggestions for updating books,0.6705,positive
good application the benefits of advice add a collection of books novels novels novels best seller Laskar Pelangi the dream edensor novels novels ready,0.9217,positive
thanks app,0.4404,positive
The nature of reading Ipusnas is quite satisfying the stock of books knows your interest,0.7425,positive
thank you for reading books like facilities,0.6124,positive
help students study Indonesian literary language one of the,0.4019,positive
download smooth week happy application problems download borrow books bookshelf open menu results delete memory data application redownload books open open error Ipusnas closes bugs try new good application,0.296,positive
suitable for hobbies reading easy grammar books for free highly recommended,0.807,positive
cool flower app,0.3182,positive
wait wait wait old die Ipusnas intends to borrow books intends to increase public literacy read tell me to wait for the basic application of occult books,-0.3818,negative
thanks to the ipusnas application its easy to read books add reference papers help applications sometimes the front logout application,0.8176,positive
ipusnas application benefits thank you hook encounter application bug force close application landscape mode read books galaxy tablet android version application update support landscape mode,0.7783,positive
help sometimes,0.4019,positive
try to open the ipusnas application try to appear the National Library of Indonesia logo loading there the homepage is good,0.4404,positive
love collection,0.6369,positive
good meaning digital book,0.4404,positive
love the application to help channel the hobby of reading,0.7845,positive
good application then the book wishlist feature likes to read the wishlist,0.6908,positive
good apk like to read campus book pull download apk regret,0.3818,positive
cool help book collection,0.6124,positive
likes to read free books offline suggestions for adding best seller books flowers reading applications downloading Ipusnas sometimes lining up to buy big no steel books,0.8225,positive
good application menu suggestions specific categories history categories for national history world history mathematics elementary and junior high school mathematics,0.4404,positive
login read business book login facebook regret download,-0.4215,negative
a bit of an error open the apk restart stop telling me to click continue stop,-0.7269,negative
add genre like read easy find genre like,0.7845,positive
apk is good events are getting better,0.7003,positive
good application it helps the cost of buying books reading for free uploading books to the National Library of Indonesia member limit copy book bus the limit is quite tight after borrowing books wait for the week,0.8316,positive
read error,-0.4019,negative
I like borrowed books Im annoyed,-0.0258,negative
fun to tell,0.5106,positive
Entering a good apk is difficult the loading page is a bit crashing the developer level type book appears thank you,0.4404,positive
says the pinned menu page is easy to find read the scroll menu thank you Ipusnas read quality books install the karuan story application,0.6597,positive
good save buy advice book notice add highlighter pen feature sentence read color search feature search key published gpu grasindo media try search key published,0.7506,positive
Thank you the Ipusnas application adds to the collection of books queues and borrows books hooks students up for borrowing books,0.3612,positive
great coral books tera childrens books,0.6249,positive
good app benefits good rating,0.8126,positive
the complaint is over thank you the flower team is ready for the Ipusnas bug comfortable advancing Indonesia literacy,0.7269,positive
yesterdays os update read the book the application closes automatically report confusion,-0.296,negative
borrow books digital book limit easy access go library,0.4404,positive
good application a large collection of literary link books,0.4404,positive
app permission read phone contacts read pki history clear phone android desktop,0.3818,positive
good advice in front of a large collection of books,0.4404,positive
the ipusnas application the benefits of reading books adding to the collection of novels brown davinci code ipusnas adding a mark manson book the art of being ignorant,0.128,positive
read free books the application where the city library is an easy application to read the thank you book the role for the book application in thank you,0.8807,positive
perfect command full promise developer session login permanent bother login pc android app login please login money app,0.7096,positive
good application suggestion push notification fast borrow first wait in line,0.4404,positive
good application reading books satisfied and developing Indonesian students,0.6908,positive
cool ipusnas tani college pull level,0.3182,positive
easy application to find references how good the files are many queues for complete books,0.7003,positive
lots of book stock open the stock book out read the good application ahead,0.4404,positive
new entry colorful nice fresh comfortable,0.8126,positive
overall a good application the reading page feature scrolls reads a book annoyed scrolling the search feature memorizes reads well,0.34,positive
like the application suggest the dm feature for ipusnas the reply feature reply to the core message the ipusnas whatsapp dm feature is cool the book queue notification appears the cellphone status bar appears the notification sound of the copy of books by tere liye thank you ipusnas,0.743,positive
cool application the benefits of reading books that are references from reading books adding less book collection applications please developers consider adding books in thank you,0.8271,positive
good books as work references,0.4404,positive
find the instagram homepage apk download satisfying,0.4588,positive
application update book download ipusnas december novel serial earth tere liye complete look for updates for the remaining six good applications,0.6369,positive
good login account,0.4404,positive
application benefits book collection pull suggestions book notification feature queue ready open book application ready check thank you,0.8442,positive
add a table of contents feature easy pick a book borrow wisely,0.6908,positive
login is difficult good application,0.1027,positive
I like the application its easy to find references its good for books to read Ipusnas books,0.8074,positive
change the star of the application run smoothly read the reference book for college assignments thank you,0.3612,positive
help amazing tree,0.7579,positive
looking for books easy to find books reading screen readers blind access to read screens aka talkback,0.0516,positive
cool application wrong effort easy command community level of quality massive forward reading,0.2732,positive
Sorry the searching update application is wise,0.4215,positive
open ipusnas open the feature missing feature error table of contents reading page difficult to scroll suggestions add a feature to delete neat reading history thank you,-0.2263,negative
copying the oath taking turns borrowing a book asking for verification entering the password failing trying the data deleting entering the email the password the wrong password how to make it difficult,-0.836,negative
good history books read advice collections history books world wars world wars european war interests volumes works by pacific war ojong works by ojongs european air wars by darma aji citizen soldiers by stephen ambrose band brothers by stephen ambrose,-0.9403,negative
good book good app,0.7003,positive
like sometimes like error,0.3182,positive
with apps like week open,0.3612,positive
sorry for reading the application problem loading the home page for borrowing a book help,-0.0772,negative
Separate books genres genres religion history romance complicated billboards top popular books according to genre UI updates according to the times thank you,0.8658,positive
add best seller books add copies of borrowed books wrong books the queue takes months examples of earth novels by tere liye,0.2732,positive
good app account open try to open failed info,-0.1027,negative
good server maintenance,0.4404,positive
good front fast upgrade server features innovation bonus feature access points thank you,0.8885,positive
the search menu is difficult to find the title of the first book,-0.3612,negative
enter account verification help account,0.4019,positive
read help book,0.4019,positive
strange apk login,-0.2023,negative
book help directions,0.4019,positive
like blanking annoyed,-0.0258,negative
give a notification that the book is ready to borrow when the loan limit runs out,0.3612,positive
permission advice notification notification queue book stay thank you,0.3612,positive
cool app queue notifications sometimes appear,0.3182,positive
Indonesian mandatory application,0.0772,positive
long option to borrow a book after reading find the book title error book collection,-0.4019,negative
Suggestions for adding olympic books thank you,0.3612,positive
easy efficient collection level Indonesian books reading,0.6908,positive
borrow thank you good book read,0.6597,positive
good complete book look for borrowed book references download open the application it appears remember ipusnas is good,0.7003,positive
good problem error,-0.3612,negative
Ipusnas is good I can borrow a smart English book thank you,0.7964,positive
book download sucks,-0.3612,negative
normal thanks developer,0.4404,positive
good read gabut,0.4404,positive
free download,0.5106,positive
slow hand complete book collection suggested options for deleting profile book history to look neat borrowed books count books borrow history profile for future add book collections,0.7351,positive
great error yesterday thank you,0.5994,positive
good update help access quality books suggestions for popular books lots of copies lining up,0.8126,positive
thank you ipusnas team book download read thank you,0.6124,positive
like a lot like,0.6124,positive
borrow read error,-0.4019,negative
Its good to read a lot of literary works know the appeal theres a wishlist system easy to find,0.7003,positive
open update good job,0.4404,positive
thank you good developer team error week,0.4019,positive
read the book sorry for the big star rating thank you ipusnas,0.296,positive
update ipusnas normal access thank you complete collection,0.3612,positive
ipusnas team thank you healthy healthy,0.7845,positive
bug app read book relogin good,0.4404,positive
Thank you Ipusnas the benefits of reading books borrowing books suggestions features save books borrow queue history to read save books choose borrow and then borrow books find books borrow easily,0.9169,positive
the ipusnas app download is complicated error is disappointed,-0.7003,negative
read download open good good star,0.7003,positive
ipusnas download book borrowed application date yesterday application is broken,-0.4767,negative
good download book,0.4404,positive
good problem error borrow a book download read a book,-0.3612,negative
good bug download books borrow read books,0.4404,positive
Sorry good stars access to books help increase awareness level of interest in reading have time to read favorite legal apk books access,0.9201,positive
sorry for the problem the search feature is fast smooth reads stories enters the reading list helps develop,-0.1027,negative
borrow and read books press download respond just uninstall and install friends,0.4767,positive
trouble the date of the book download goes well,-0.1531,negative
good download error read good,0.4767,positive
improve app error benefit,0.4939,positive
borrow write download learn error quickly corrected,-0.4019,negative
open a book open a borrowed book sorry you need it,-0.0772,negative
ipusnas is good cool reference waiting for application optimization to finish sad to read app books,0.5719,positive
Stateowned national library class error is embarrassing for developed countries try it,-0.6486,negative
books ready to download read books press automatic ipusnas application good,0.6597,positive
problems opening the application book continue to download borrowed books,-0.4019,negative
help find references suggestions complete collections of books thank you,0.6369,positive
good application errors are quickly resolved enthusiasm for managing the Ipusnas application enthusiasm for reading the independent Ipusnas,0.7906,positive
book dipunas good download,0.4404,positive
download the global gb miui poco book click download cooperation response thank you,0.3612,positive
error appears notification book list queue sometimes borrow books download short term borrowing long bargaining the main thing,-0.4019,negative
download good read,0.4404,positive
read the Ipusnas advice book is good the go page button is easy to read the page thank you,0.8074,positive
Its good to download the book its fast to recover,0.4404,positive
book save open redownload ipusnas hp damaged,0.0772,positive
spending budget app error reading the book go to read the book launch read the book go to the app achieve cie corruption project eats money out app trash,-0.4019,negative
sorry book read open book,-0.0772,negative
hobby is reading likes to see see download blockman go adventure mabar yen,0.6249,positive
read book download solution,0.3182,positive
download book hp opporeno hp vivo ipusnas happy application helps diligent hobby,0.743,positive
good app,0.4404,positive
sorry download the star reading application,-0.0772,negative
good good,0.7003,positive
honestly like the application easy to read books go library borrow books download experience good problems,0.8225,positive
strong signal loading memory quota,0.5106,positive
ok app says app,0.296,positive
disappointed since it was good for Ipusnas to borrow download books shame when the application was new reliable level features Ipusnas application error Ipusnas responded well embarrassed application for representation of the National Library of Indonesia a reliable application evaluation thank you,-0.5994,negative
read click help,0.4019,positive
download the book click download good response,0.4404,positive
good download,0.4404,positive
good app book find book app open and borrow,0.4404,positive
download good book,0.4404,positive
reinstall borrow books download help ipusnas team,0.4019,positive
why the error download book uninstall user redmi miui android,-0.4019,negative
download the book press download the net its good its good,0.7003,positive
good apk complete book by lisa kleypas,0.4404,positive
solid tree,0.1531,positive
application error downloading exciting exciting books read ahead open download press the optimal download button,0.7351,positive
good application book updates download read good books,0.7003,positive
download read books online legal read applications add readytoread book features find books can queue up,0.128,positive
try if the star test is missing comments,-0.296,negative
good application helps access books read error book borrowed read yesterday read hand thank you,0.8176,positive
the results of installing borrowed books read the automatic application click read thank you,0.3612,positive
good like download error read,0.4019,positive
dark mode suggestion read thank you,0.3612,positive
good bug download book,0.4404,positive
open the baby application one of the favorite applications recommend after downloading read the download click change system error info thank you,0.6486,positive
strange account a few years ago borrowed a book download fast read the borrowed book download click download to return need a book,-0.2023,negative
the ipusnas application downloads the redmi android book miui press the download button response sometimes the internet crashes smoothly victories the ram memory problem hp is relieved to be followed up thank you,0.34,positive
the benefits of the hobby of reading the book version of the book make the application more broadminded,0.3818,positive
good apk helps the thorough process since I just opened the book download the apk even though its a book,0.6705,positive
app error reading diary try via wifi cellular data,-0.4019,negative
the application for reading benefits is available quite complete definitely legal suggestions for returning books waiting for hours sometimes finding books according to taste again waiting in line,0.7463,positive
Suggestions for school textbooks the curriculum is made easier to teach online school textbooks help with severe bugs download books,0.4404,positive
download ipusnas good net login problems open social media smoothly ipusnas login problems,-0.3612,negative
good reference for reading work assignments,0.4404,positive
updating borrowed books downloading difficult to open clearly likes good applications,0.7096,positive
Please give stars star rights queue name star library application Indonesian nation advanced sorry for being selfish,-0.0258,negative
good application for suggestions try the application open the book file the PC application read the reference open the file thank you,0.6597,positive
hard to do the task in copy paste,-0.1027,negative
application error click search appears,-0.4019,negative
good app search for books function search for the title of the notebook what results appear the book is ready,0.6597,positive
good online library application library sometimes loading server what ui is good advice to buy books write books borrow Indonesian citizens read books for free,0.8442,positive
good features favorite books borrowed books lost books downloads sometimes forget to read books download list of reading books,0.4019,positive
good like the app book proposals the limit of queuing up tired of queuing can read illegally read steel thank you,0.6124,positive
error login email login then facebook,-0.4019,negative
neat book just read login wait for the clock signal the quota is stable,0.6369,positive
good book read using queue,0.4404,positive
likes to help hobbies reading books suggestions add the wishlist book feature borrow books personal homepage thank you,0.7906,positive
application that helps books find all ipusnas applications is great,0.7717,positive
good reading book read offline,0.34,positive
the title of the borrowed book open the contents of the edited book the title of the practical guidebook for success in obtaining a state scholarship,0.5719,positive
ipusnas application open password book open help change password thank you,0.6369,positive
the benefits of requesting a mechanical engineering book a lot of books released by the National Institute of Sciences advanced science and technology,0.5574,positive
help children learn aspects of teaching,0.4019,positive
bug benefits,0.3818,positive
books month queue popular books to guard Ipusnas book notifications are ready pop up war pops up pick up books get a level,0.1027,positive
borrow books borrow books notification reach the maximum limit of borrowing books,0.0258,positive
I like the benefits thank you Ipusnas is a nation with the spirit of literacy,0.8074,positive
Borrowed book open autoclose pay close attention to literacy,-0.1027,negative
star complains login error likes to read Ipusnas fun books good facilities,0.5719,positive
its good the request feature for the Ipusnas book contents according to the needs of the student community they need to refer to the thesis,0.4404,positive
enter the book loan read error application,-0.4019,negative
cool good book performance level,0.6369,positive
Sorry the application is difficult sorry open the application manage the application thank you,-0.1531,negative
nice bug,0.4215,positive
good book complete update,0.4404,positive
The collection is quite complete there is a screenshot feature of the webtoon app the limit of screenshots is avoiding steel,-0.34,negative
logged out as a result login login books borrow borrow borrow borrow business ask for verification email email message Ipusnas solution,0.3182,positive
borrow gmail list help hard,0.3182,positive
the development team is good,0.4404,positive
borrow the application book even though verifying the email is urgent,0.2023,positive
Its good to find a book its quite complete enter the book and queue up sadly Sunday queue get in line,0.0258,positive
steady application Indonesia the country belonging to the interest in reading the form of advanced Indonesia,0.6124,positive
add popular book recommendation menu,0.4215,positive
huaaaa its hard to borrow the force close application muluuuu good expect good features try zonkk,0.6597,positive
cool I like applications that are easy to access books according to technological developments,0.7717,positive
benefit application thank you thank you ipusnas,0.7906,positive
pretty good app,0.7269,positive
thank you good fast,0.6597,positive
good app love to read,0.7964,positive
nice app,0.4215,positive
good application comfortable reading good stars,0.8442,positive
sorry report understand the application download the practice of typing assignments tell the teacher,-0.0772,negative
obviously like to appear ipusnas bookmark page,0.3612,positive
the benefits of a collection of books many applications easy updates add favorite book features,0.8176,positive
download the wrong application error application,-0.7003,negative
the ipusnas application helps reading novels growing interest in reading pandemics definitely benefits thank you,0.9201,positive
collection of book collections added thank you,0.3612,positive
happy responsive admin quick response,0.7351,positive
love ipusnas,0.6369,positive
application to help thirst for knowledge,0.4019,positive
good many old published linguistic books are hard to find,0.3612,positive
good smart nation,0.6808,positive
permission to enter audio is available read listen to stories audio features thank you,0.3612,positive
good apk insightful read good novel apk like apk thank you,0.9022,positive
appear hard to read,-0.1027,negative
first excited for the list of books read and borrow email verification wait for the verification email try the email account register the system,0.34,positive
nonactive book comments fail fail,-0.7906,negative
the national library becomes a field take pictures the old version of the power volume button use it to queue up read the business of the centipedes brain go home borrow it quickly the devil please wait in line wait your turn have the right to read books knowledge window business window centipede brain,-0.4767,negative
apk star value is quite a complete book search for ipusna advice available mobile mode reading mode for scrolling thank you,0.5994,positive
permission to enter and borrow limits sometimes read books look for assignment references like to queue sometimes ask for followup,0.3612,positive
thank you application developer help read the book advice in front of the apk book sorry to say the queue system for apk books is good borrow the book receive the book take it back hurry take it in front of the queue thank you literacy,0.8519,positive
hobby is reading you have to read applications choose neatly write papers know the keys have to be patient line up borrow books borrow borrow long week read in a hurry sometimes reading ends busy day,0.34,positive
uninstall app install login tell me to deactivate the account clearly login,0.4019,positive
good application likes to read ahead love to adjust the light the letter model is tired of the eyes,0.7906,positive
need to read help task apps,0.4019,positive
read steel original novels,0.3182,positive
not bad,0.431,positive
add a book search feature easy to find material,0.4404,positive
a lot of book stock appears fresh upgrades appear,0.3182,positive
yesterday lags the quota is good how to read well,0.3612,positive
cool good PC app bug indifferent response,0.5267,positive
the application helps sometimes the queue for books dies thousands of minutes are ready a notification of the maximum borrowing limit borrow and borrow again a notification appears open the application request many types of books magazines newspapers thank you,0.765,positive
benefit application online library,0.4588,positive
reading ebooks borrowing and borrowing is complicated thank you for the ebook application business,0.3612,positive
borrow a book read a book thank you reply uninstall install complain page is missing wrong book borrowed the title of the book basic social and cultural science by Elly Setiadi,-0.6486,negative
hard to log in september,-0.1027,negative
good download like less buy steel book free buy steel book coolnnnnnn,0.8271,positive
enjoy the Ipusnas reading book application add drowning girls borrow all best for Ipusnas,0.8126,positive
find an application for the spirit of reading on,0.1779,positive
read access photo media file device danger,-0.5267,negative
satisfied reading online easy to read,0.6908,positive
the benefits of knowledge know the window of the world thank you so much,0.6249,positive
Added page number entry feature Fast scrolling feature Interrupt manual scroll Books Broken finger pages,-0.6369,negative
sorry account verification help,0.34,positive
star orders email verification email verification notification see spam box,-0.3612,negative
complicated why is it easy to read difficult books registration application password verification email verification a smart email appears smart people live read complicated,0.7003,positive
good reading application loading,0.4404,positive
read in line cool,0.3182,positive
thank you ipusnas easy to read ipusnas books a large collection of history books thank you,0.7845,positive
good apk free books delicious hard searching download read logout,0.8591,positive
