at,userName,score,content
2022-05-11 07:44:48,Wulandari Putri,4,"Tolong buat tambahin buku 'Son of Neptune' karya rick riordan, soalny tinggal buku itu aja yg belom ada di series HoO. Saran banget buat ipusnas agar nambahin fitur buat filter genre/jenis buku nya biar lebih gampang nyari nya, Notifikasi nya juga diperbaiki biar bisa muncul plis banget. Makasih banyak🙏"
2022-05-11 05:23:15,safira soraya,5,makasi developer
2022-05-10 08:57:43,YN Channel,2,"Kenapa Aplikasi ini lama banget dah, masuk mendaftar saja lama betul. Mohon maaf admin tolong diperbaiki, ini buat saya beteh ya plesed.🙏😡"
2022-05-09 10:02:15,Oasa Mikyalul husna,5,"Banyak banget buku² yang bisa dibaca. Ada buku best seller sampai buku dari penulis terkenal juga ada di iPunas. Saya senang bisa baca banyak buku di aplikasi ini dan itu juga gratis. Tapi ngantri bukunya ada yang lama banget, wajar sih namanya juga perpustakaan nasional, banyak pengguna yg pake. Kedepannya semoga bisa diperbanyak stok bukunya untuk mengembangkan minat dan kebiasaan membaca."
2022-05-08 00:43:18,bangdhonz channel,1,Assalamualaikum...knapa ya saya gak bisa login
2022-05-06 17:14:25,08 Akbar Alfarizky,5,Keren banyak ilmu
2022-05-06 14:10:51,Pengguna Google,3,"Keren. Udah pinjam belasan buku. Mungkin perlu ditambah social room buat ngobrol antar penggunanya. Edited 6/5/2022 Maap, min. Bintangnya sy kurangi. Soalnya sdh 2 minggu ini buku yg sy unduh tidak bisa dibaca. Forced close terus. Sdh uninstal & reinstal, problem masih sama."
2022-05-06 13:24:51,Myname Jok,5,terimakasih buat para developer yg sudah menyediakan aplkasi ini sehingga anak anak bngsa bisa membaca buku di mana saja kapan saja. GBU
2022-05-06 00:09:42,Alfith Isnain,3,"Koleksi bukunya lumayan lengkap, tapi tampilan aplikasinya waktu baca buku suka kedip kedip, jadi ganggu bgt"
2022-05-05 13:43:30,Fandi Winata,2,Force close melulu 😮‍💨
2022-05-04 06:43:32,Lutfia Al Rahmah,4,Saran untuk menambahkan fitur highlighter. Dan kendala yang saya alami hanya sistem antrian. Tolong perbanyak koleksi atau prioritaskan orang yang lebih dulu mengantri.
2022-05-04 06:24:18,Lovegood Luna,3,"Sebagai pembaca, saya ngerasa seneng karena ada aplikasi legal kayak gini, apalagi bukunya juga gratis.Tapi kenapa ya dari aplikasinya tuh suka logout sendiri? Kalo pas mau login juga butuh waktu lama, apalagi kalo login dari facebook.Semoga kedepannya engga kayak gitu lagi"
2022-05-03 12:21:36,iqbal man,1,"Jelek, eror gabisa di download padahal udh pinjam, gmna mau bacanya"
2022-05-03 12:17:48,Alif nur Muhammad,5,"Bagus banget aplikasi nya untuk menambah wawasan dan pengetahuan tentang hal-hal apa saja,tapi kadang suka eror semoga cepet terselesaikan deh masalah eror nya min👍"
2022-05-02 17:33:57,mgl city,3,Kog error si. Tolong di perbaiki.. Ada tulisan numpuk numpuk
2022-05-02 13:49:45,Josef Gunawan,5,Sumber yang sangat bermanfaat
2022-05-02 09:07:22,FIQRON AMIRUL MUKMININ,3,Bagus sih tp suka keluar sendiri dan masih banyak Bug
2022-05-01 12:19:57,M Boby Hasan Arfani,5,"Sudah makin berkembang fiturnya, hanya saja sangat disayangkan fitur penanda halaman dihilangkan, jadi kesulitan untuk menandai halaman terakhir baca"
2022-04-29 22:44:48,Vira Fauziah,4,"Koleksinya banyak meskipun antrian tak berujung di buku2 populer, masih oke untuk buku ilmu pengetahuan. Perlu ditingkatkan lagi dari segi penampilannya. Diharapkan kedepannya memiliki desain interface yang menarik dan memudahkan."
2022-04-29 11:41:03,Awra Diva,5,"great, udah diperbaiki dan enggak ada kendala pas mau dibuka. gercep, sehari doang perbaikannya. semoga kedepannya gaada kendala lagi ya. also suka bgt apk ini, aku yg belum pernah ke perpusnas dan pengen bgt ke sana jd tertolong dengan adanya perpusnas versi digital ini. makasii."
2022-04-28 16:03:21,Dyah Iswari Proborini,3,"Min, tolong ditambahkan kategorinya, kategori buku baru. Jadi saya tahu buku-buku apa aja yg baru. Gak harus scroll lama cari buku baru. Terima kasih"
2022-04-28 13:16:29,Min Yatul Ummah,2,"Lagi cari referensi buku tapi apps keluar terus, katanya ada bug disuruh update padahal udah update"
2022-04-28 04:26:21,Hangga Perdana putra,5,Semoga semakin lama koleksi ipusnas terus bertambah.
2022-04-27 18:48:16,Silvi Yuliani,5,"Daripada baca buku bajakan atau baca buku lewat pdf yang diunduh bebas gitu, yuk baca buku di iPusnas! Walaupun nggak semua buku yang kalian mau ada di sini, tapi di aplikasi ini udah lengkap banget!"
2022-04-27 17:45:31,Haruruta_,4,"Bagus apk nya, cuma pas lagi baca² tiba-tiba keluar sendiri, terus pas saya mau mengembalikan buku kenapa tidak bisa ya? Tolong diperbaiki lagi🙏🏿"
2022-04-27 17:28:44,X.3_Auly Mahya Masyrifah,5,"Aplikasinya bagus bgt, tp ada bagusnya kalau bukunya bisa mendukung latar gelap. Karena saat membaca di tempat yang gelap mata saya suka perih"
2022-04-27 15:36:31,Veridaus Napitupulu,3,"Saya berharap semoga kedepan nya aplikasi ispusnas tidak memakai waktu peminjaman dan menghapuskan sistem antrian, atau kalau memang ingin dibuat sistem seperti itu, setidaknya tidak ada sistem antrian, dan mohon ditambah waktu peminjamannya, coba bayangin, kami rakyat indonesia ingin membaca dan menambah wawasan masa harus ngantri dulu"
2022-04-27 15:13:31,Zannah nasution,5,Sangat membantu bagus banget bukunya lengkap disini
2022-04-27 11:59:57,Jaemin Girlfriend,2,"Hai kak, ini kenapa aplikasinya susah buat login yaa? Padahal sandinya udah sesuai sama kata sandi emailku. Tapi kok nggak jadi, gagal terus. Di sini sinyalnya juga bagus kok. Apa memang bener lagi erorr? Tolong diperbaiki dong min, pengin pinjem buku jugaa^^"
2022-04-27 09:57:26,Najwa Nawa,5,"Edit: Hai, boleh dong rekomendasi buku yang keluar dibawah judul yang kita buka diperbaiki? Misal masih satu tema gitu? Terimakasih! Developer baik deh, selalu jawab dan sarannya berhasil, terimakasih!"
2022-04-27 00:15:47,Deyenis Love,5,"Sangat bermanfaat sekali, aku suka aplikasi ini."
2022-04-26 17:30:10,Shevanayla,5,The best 🤍
2022-04-26 14:19:27,Akun Percobaan,4,"Perpustakaan digital ini sudah cukup baik, berjalan dengan lancar dan bagus Ada beberapa yang menurut saya harus di tingkatkan: 1. Notifikasi tidak muncul ketika buku antrian sudah ada. 2. Buat pembatas atau pengingat halaman di setiap buku, karena saya sering lupa,saya baca buku sampai halaman berapa?. 3. Tampilan yang lebih segar lagi dan lebih simpel tapi berisi. 4. Ketika meminjam buku tolong di beri waktu, berapa lama lagi buku akan di kembalikan. 5. Buat notifikasi ajakan membaca/ motivasi"
2022-04-26 12:33:12,rey,5,"Terimakasih kaka2 developer dan tim yang sudah membuat & mengembangkan aplikasi yg sangaatt bermanfaat ini apalagi bisa diakses scr gratis-tis-tiss:D. Mau rekomendasi beberapa buku2 yg bagus & belum ada di iPusnas : Men are from Mars Women are from Venus, Wonder, Deep Work, How to respect myself, Matinya Kepakaran, buku2nya Malcolm Gladwell, juga terakhir semoga kedepannya bisa ada buku2 bagus bhs Inggris yg versi Indonesianya gak ada. Semoga literasi masyarakat Indonesia semakin meningkat 💪✨"
2022-04-26 07:25:09,Siti Fatimah,3,Mohon bantuannya ! Ini saya gabisa login
2022-04-26 06:35:40,Winda Fitrian,4,Good. Hmm. Susah login mulu kenapa ya?
2022-04-26 03:21:09,Aldi Kristianto,5,oke
2022-04-25 18:53:33,Sunarti,1,Setelah melakukan peminjaman buku. Buka tdk dapat di buka.
2022-04-24 21:19:38,Pemean Teles,1,Masih sangat jauh dari kata kenyamanan pembaca
2022-04-24 20:00:52,Muhammad Tohirin,1,Aplikasi sebenarnya bagus tapi banyak yang hurufnya dempet jadi tidak terbaca.
2022-04-24 13:54:47,Nurul azmi,2,"Maaf cuman bintang 2. Soalnya akun saya tiba tiba keluar sendiri. Gak bisa log in lagi. Pas mau masukin email malah ada tulisan ""email tidak valid."" Padahal email-nya udah benerr. Udah kirim email juga ke akun email ipusnas, tetapi nggak ada respon. Tolong solusinya ya. Terima kasih."
2022-04-23 07:41:25,Masrifah Afandi,1,"Sudah bertahun-tahun masih sama saja tdk ada perbaikan,, Bintang yg berbicara"
2022-04-22 20:20:55,Irfan Sarifudin,4,Bukunya kurang komplit
2022-04-22 16:38:57,A - Family TV,2,"App-nya bagus sebenarnya😭 aku udah 2 tahun baca pas kemaren keluar sendiri mau masuk lagi malah gak bisa😭😭 gimana ini... Pr buat developer nya... Padahal jaringan bagus, aku test YouTube lancar, buat penyimpanan aku masih lega rom aku 128 GB, pass sama email bener kok gak aku ubah2. Tolong ya aku gak bisa kalo harus ke perpustakaan nasional terus."
2022-04-22 14:56:45,bitter rn,5,"Buku"" nya bagus"""
2022-04-22 11:08:12,Putri Hasibuan,2,"Kenapa transisi kertas curlnya ga bisa diapply? ngestuck terus. Waktu keluar dari novelnya, pas mau baca lagi, eh balik ke hal yg pertama, bukannya hal yg terakhir dibaca, kenapa hd seperti itu? Mohon perbaikannya"
2022-04-21 12:41:30,Muhammad Ali,4,Bagus sekali baca lah kejarlah cita citanya setinggi langit Sekian terimakasih
2022-04-21 10:29:33,jems artur,5,Terbaik
2022-04-21 03:16:51,Dina Noviana,3,Aplikasinya cukup sering tidak bisa digunakan. Tampilan halaman awlqnya nge freeze
2022-04-21 02:25:12,Jumantri T. B Silaen,1,"Mohon maaf sebelumnya, saya sudah mendaftar akun 3 kali tetapi yang muncul email dan username tidak valid"
2022-04-21 01:58:22,Maman Durahman,4,Nice app. Thanks.
2022-04-21 01:05:50,Hanz Zimmer,5,"Aplikasi bagus bukunya juga menarik , saran tambah berbagai buku novel dari berbagai penulis kak biar lebih variatif pilihan bukunya terutama buku dari penulis² kecil juga tambah fitur genre buku yang lebih beragam jadi pilihan bacanya lebih menarik. Itu aja sisanya keren semoga budaya literasi lestari :)"
2022-04-21 00:58:10,Mahrizal,5,Keren aplikasinya Sangat membantu
2022-04-19 13:29:22,Miladia 22,5,Suka banget
2022-04-19 11:28:51,Danang Setyawan,3,"Halo kepada tim developert ipusnas. Saya sangat senang karena sekarang bisa baca buku lewat hp. Namun sayang. Saya sudah pinjam buku, tapi ga bisa. Mohon para kru ama tim nya, mohon segers di benarkan ya, atau kalau bisa di kasih tutorial pas awal masuk agar kita semua paham. Oke sekian dari saya. Terimakasih"
2022-04-19 05:56:54,DuDu 두두 g3m ToD,5,"Kerenn,, semoga kedepannya bisa lebih baik y"
2022-04-18 14:46:54,Annisa Fauziah Zain,3,"Fitur screenshoot tolong adakan lagi dong, biar bisa mengajak org org suka baca juga, dengan memberi tahu kutipan buku yang bagus"
2022-04-18 05:20:28,Annisa Yuliani,3,"Sayangnya tidak ada fitur wishlist, gabisa ngelist buku apa aja yg mau dibaca kedepannya."
2022-04-18 01:28:18,Elsa Amelia,5,"Banyak koleksi buku, pelayanan gangguan cepat."
2022-04-17 17:26:30,IG umarxvntour,2,"Habis update jadi banyak bugnya, mending versi yg kemaren, ga ada bugnya"
2022-04-17 09:51:06,Raissa Najla Maulida,3,"koleksi bukunya lengkap dan bagus bagus, tapi aplikasinya sendiri sering bug dan error, mohon diperbaiki"
2022-04-17 07:40:13,cherish bloomy,3,"Saya mohon agar iPusnas dapat menyediakan fitur mengembalikan buku sebelum 1 × 24 jam, sebab terkadang buku yang sudah terlanjur dipinjam itu ternyata tidak sesuai dengan minat."
2022-04-17 01:03:53,Yoga Amanda Putra,5,semoga bisa lebih ditingkatkan lagi
2022-04-16 16:19:56,Muhamad Ridwan,5,"Keren aplikasinya, menambah wawasan"
2022-04-16 03:30:21,Nurhaliza Alya,1,Kenapa saya tidak bisa lagi login?
2022-04-15 14:36:21,Nai,1,"tidak bisa login, tolong dibenahi"
2022-04-15 13:50:18,Yudi Yudi,3,Assalamualaikum saya Yudi saya minta tolong. Tolong perbaiki bukunya biar terbaca sama anak disabilitas netra terima kasih
2022-04-15 06:33:11,My Rtna,4,Kasih bintang 4 karena novel nya kurang lengkap. Tp yg bagian agama dan spiritual suka.
2022-04-15 06:06:43,Luluk Alfiah,3,"Asalamu'alaikum wrwb, sebelumnya saya mohon maaf yg sebesarbesarnya, saya ingin meminta tolong jika memang belum tersedia kiranya dapat menyediakan. format agar isi buku di ipusnas ini dapat terbaca oleh kami penyandang tunanetra. Utk Smua fitur, menu, judul dan deskripsi bukunya sudah akses, tinggal isi bukunya, karena itu sangat membantu kmi, terimakasih."
2022-04-14 19:07:54,Zain Fikri,1,"Email verifikasi ribet gagal truss ,link email selalu kode verifikasi tidak valid padahal bener semua data dirinyaa"
2022-04-14 17:21:18,Nofri Imansyah,1,Gak bisa kebuka gaje
2022-04-13 21:53:31,Day Hidayat,1,"Sedih, belum berkembang, BUG banyak banget, gabisa baca, gabisa kembaliin, force close, 😭 yok bisa yok, perpus nasional lho ini"
2022-04-13 04:35:11,Yazid Al-Isyqiy,5,Sangat bermanfaat untuk bangsa
2022-04-13 00:42:29,Sri Yatun,4,Tolong tambah buku mengenai linguistik. Terima kasih
2022-04-12 17:41:02,maulana ikhsan,2,"Buku yang sudah dipinjam melulu ilang, padahal sudah di download. catatan yang sudah dibuat juga sering hilang. Hmm tolong dong diperbaiki, sangat mengganggu."
2022-04-12 17:37:13,Ardisa Trynanda,3,"bagus, tpi loadingnya lama banget."
2022-04-12 13:26:15,fadhil,5,Aku suka baca Jadi bintang 5 aj
2022-04-12 05:46:07,Muhammad Tamam,1,Teu bisa login
2022-04-12 00:01:36,19. Krisna Bayu Setiawan,5,Krennn
2022-04-11 16:59:48,Ega Prillya,5,Stock buku tolong diperbanyak 🙏 sehingga tidak menyebabkan antrian yang terlalu banyak 🙏🙏
2022-04-11 07:04:03,ikwal yuni,5,koleksi lumayan
2022-04-11 03:46:42,Sayekti Widi,3,Mau daftar susah sekali. Email sudah benar tapi tetap gak bisa.
2022-04-11 01:52:06,Bayu Rizkyansyah,5,"Aplikasinya bagus banget kak👍tpi tolong ditambahin komik bergambar buat anak-anak,jdi lebih enak gtu bacanyaa,itu aj sih ulasan dari saya Semoga membantu,Salam literasi🙏"
2022-04-11 00:36:57,yurista B,5,Stok terbatas tolong di tambah soalnya antriannya sangat lama dan baru dapat notif pas di cek udah di posisi antri lagi 😊
2022-04-10 13:50:35,Alsa Alysia lestari,3,"Udah bagus sih bukunya banyak, lumayan buat nambah pengetahuan, tapi banyak kekurangannya juga, dari mulai loading lama padahal jaringan bagus, udah di Download bukunya tapi gak bisa baca secara offline kaya dulu, Dll, kecewa, tapi semoga bisa di perbaiki lagi yah!"
2022-04-09 08:43:41,Agung Setyo Pambudi,1,"Sangat disayangkan ketika saya ingin membaca buku hanya stuck di ikon download saja dan akibatnya buku tidak bisa dibaca, tolong pihak developer untuk perbaiki bug yang ada diaplikasi iPusnas. Terima kasih."
2022-04-09 01:04:47,hadi wibowo,5,Sangat membsntu
2022-04-08 23:00:04,Alexander,5,"Aplikasi yang sangat bagus, cocok untuk para pembaca. Sungguh di sayangkan book novel sangat sedikit. Kalau bisa di tambah."
2022-04-08 15:28:37,LINDA GUNAWAN,3,Saya ingin membaca di tablet. Tablet GT-N5100 dengan android 4.42 dinyatakan tdk kompatible. Kenapa ya....? Padahal syarat ipusnas yg saya ketahui bisa untuk android 4 and up. Masak ya harus beli tablet baru....???? Baca di hp tulisan kekecilan .
2022-04-08 12:29:13,Deby Amanda,3,"Min apk nya bagus dan bermanfaat bgt, aku mau buat makalah pake sumber buku, tapi maaf yh min lemot bgt padahal sinyalnya lancar, akun ku jg blm masuk"" dari tadi,, mohon di perbaiki yh min, soalnya apk nya sangat bermanfaat Edit: Minn kok aku mau nyari buku lain yg di ketik lain yg keluar, mohon di perbaiki min aku butuh bgt soalnya"
2022-04-07 23:41:44,Ami Syilvia,3,"Bagus sih tapi kenapa yah ga ada notif ketika buku sudah tersedia? Udh beberapa kali ketinggalan mulu buku yg masuk antrian, pas mau dipinjem eh stok udh abis.. soalnya ga ada pop up notif ""buku (judul) sudah tersedia"""
2022-04-07 02:52:18,Faker 101,3,"Sebagai aplikasi buatan pemerintah aplikasi ini masih kurang stabil. Ada banyak bug. Seperti ketika membuka buku yang di pinjam malah force close, dan lain lain mohon untuk diperbaiki"
2022-04-06 17:15:42,Rio Ananda,3,Kok sering error sih gimana sih ini? Tolong dong untuk para develop agar responnya cepat bila terjadi kendala. Soalnya akhir akhir ini servernya sering down. Terima kasih
2022-04-05 11:15:48,1PA35_Allingga Nurwanda Wulandari,5,Aplikasi tidak dapat dibuka
2022-04-05 09:30:21,Nur Masyitah dewi,2,Kenapa gak bisa login padahal baru aja update versi terbaru? Jaringan internetnya juga bagus bagus aja
2022-04-05 08:40:38,Siti Ikromah,5,Rekomendasi.!
2022-04-05 04:36:20,Baby Reveluv,4,"Lumayan, bisa buat hemat pengeluaran kami kaum bookworm. Tapi sayang, koleksinya kurang lengkap. Saran: Semoga update dengan novel-novel terbaru dan stoknya kalau bisa lebih dari 10 biar yang antre ngga panjang."
2022-04-04 17:25:51,Berkah Hati,4,Sudah bagus. Tapi kenapa ya notifikasi antrean buku di hape saya tidak menyala? Apakah ipusnas tidak tersedia notifikasi?
2022-04-04 03:13:42,Neo Blossom,4,"Aplikasi ini bagus, tapi masih banyak PR juga buat developer. Komentar tidak bisa dipost padahal koneksi bagus, dan tahu gak aplikasi ini gak bisa memunculkan notifikasi? Padahal izin notifikasinya diaktifkan, tapi tiap ada buku yang saya tunggu tersedia tidak ada notif atau pesan muncul. Lalu sampul buku juga sering loading, tidak sesuai judulnya. Dan, pastinya, saya masih mengharapkan tersedia 'tebal halaman' untuk update selanjutnya."
2022-04-04 02:07:45,zulka Heryawan,5,Sudah bagus cuma jd kadang eror bukunya smpai gabisa dibuka :)
2022-04-04 01:04:37,Tb. Muhammad Zaidan Ramadhani,3,Tidak lengkap.. Saya cari buku leksikografi saja tidak ada ?
2022-04-03 04:13:19,Inka Rachel,1,Kok aplikasinya tidak bisah di gunakan
2022-04-03 02:51:55,Indira Shinta_Dew,1,Saya mau atur ulang password tapi kenapa webnya error yaaaa!!!!
2022-04-01 09:18:21,Titi Sarah,5,Bagus banget buat orang yang suka baca buku seperti saya
2022-04-01 04:40:37,AJI SETIAWAN,2,"Tidak ada fitur cari halaman atau menuju ke halaman ... , jadi kalau akan melanjutkan untuk menbaca buku lagi harus scrol ke bawah terus..."
2022-04-01 04:04:19,Reyzer Bms,5,Nice
2022-04-01 02:51:20,Agit Alrizky,5,Saya suka
2022-03-31 14:54:59,elya malenda,5,Bagus...
2022-03-31 12:09:51,Bidah Sariyati,5,Terimakasih ebooknya sangat membantu. Tambah koleksi ebooknya ya terutama ekonomi Islam. Good Job
2022-03-31 11:56:03,Victoria Z467,4,"So good , tapi setelah pinjam GK bisa pinjam kembali :("
2022-03-31 10:26:57,Fadli Yatii,3,Nggak bisa log on. Katanya maintinance 😭. Udah coba berkali2
2022-03-31 07:27:54,La Fei,5,Aq kasih bintang 5 buat menghargai app ini dan sangat membantu aq yg hobi membaca tapi aq ada sedikit saran dan masukan buat app ini . 1. Awalnya lancar2 aja tapi beberapa hari ini gak bisa di buka alias cuma loading mulu. 2. Gak ada batas akhir bacaan kita jadinya kalau baca belum selesai dan kita keluar maka kalau mau baca lagi harus scroll terlebih dahulu. Itu aja mksh yaa buat Ipusnas.
2022-03-30 15:40:29,Ari Setiawan,1,"kok jaringannya error ya, loadingnya lama bnget"
2022-03-30 13:06:52,Azam Satu,1,Saya nggk bisa pinjam karena nggak ada konfirmasi email Konfirmasi email nya nggk di kirim gimana mau mengkonfirmasi blog
2022-03-30 11:23:07,Mutmainna,5,"Disediain buku secara online begini sudah bersyukur sekali. Aplikasi yang sangat mendukung meningkatnya literasi masyarakat indonesia, lalu sebenarnya apa yg masyarakat tunggu untuk dapat membaca? iya niat dan waktu. Semangat menuju indonesia yg lebih baik. Terimakasih perpusnas."
2022-03-29 14:45:03,01_Ibrahim Wahid,4,"Selalu gak dapet kalau antre novel penulis terkenal, mohon ditambah copy-nya"
2022-03-29 13:52:16,Mario Botu,5,Keren
2022-03-29 00:01:57,Zahra Anjani,3,"Ketika pertama kali registrasi, mengapa selalu email atau username tidak valid ya? Mohon pencerahannya 🙏"
2022-03-28 10:14:18,M. Rizkiymaarif,5,Saya suka ipusnas buat baca pelajaran cerita pokok nya aku suka deh aku kasih bintang lima
2022-03-28 08:24:16,Diajeng Asih Lestari,5,"sangat membantu kami, orang tua, dalam mendampingi anak belajar."
2022-03-28 07:21:11,Daniswara _259,2,bug dalam aplikasi sangat mengganggu. setiap scroll halaman bug mode dark & mode light gonta ganti secara terus menerus. tapi overall membantu saya mengerjakan tugas kuliah
2022-03-28 02:37:35,BAMBANG HARIMURTI,1,Login yang lambat
2022-03-28 01:31:23,Fannisa Arifiyansyah,2,"Min mau tanyaa ini cara baca bukunya gimna,,, udah klik pinjam buku trus klik d dwld gk bisa ,, penting min buat ngerjain makalah tolong lahhh gmn caranyaa kok malah eror huhuhu"
2022-03-27 14:42:50,Putra Sumba,4,Bagus aplikasinya
2022-03-27 12:42:53,Pauji Rahman,5,Terimakasih
2022-03-27 08:49:59,Minomi Course,5,Mantul
2022-03-27 05:35:21,Lily Harlina,5,"Bukunya melimpah, keren, tapi eksemplar bukunya perlu diperbanyak, yang nagntri banyak soalnya"
2022-03-27 03:43:11,Dista Kwan,2,"Kenapa ketika saya mendaftar tidak bisa? Ditulis, email saya tidak valid. Bagaimana bisa? Saya menulis dgn benar, tapi tetap tidak valid. Begitu juga ketika menggunakan email lain."
2022-03-26 17:32:21,Sabarrudin Sabar,5,Good
